Mark;R0 Ohm/km;X0 Ohm/km
ААБл-120;0,258;0,08
ААБл-150;0,206;0,079
ААБл-185;0,167;0,077
АСБл-120;0,258;0,08
АСБл-150;0,206;0,079
АСБл-185;0,167;0,077
ААБлУ-120;0,258;0,08
АПвПу2г(тр)-120 ЭКРАН-35;0,325;0,108
АПвПу2г(тр)-185 ЭКРАН-25;0,211;0,103
АПвПу2г(тр)-240 ЭКРАН-25;0,161;0,098699507
АПвПуг(тр)-185 ЭКРАН-70;0,211;0,103
АПвПуг(тр)-300 ЭКРАН-50;0,13;0,095899747
М-6;3,060;0,397
М-10;1,790;0,381
М-16;1,130;0,358
М-25;0,720;0,345
М-35;0,515;0,336
М-50;0,361;0,325
М-70;0,267;0,309
М-95;0,191;0,300
М-120;0,154;0,292
М-150;0,122;0,287
М-185;0,099;0,280
А-16;1,960;0,377
А-25;1,165;0,377
А-35;0,850;0,366
А-50;0,588;0,355
А-70;0,420;0,345
А-95;0,315;0,334
А-120;0,251;0,327
А-150;0,198;0,319
А-185;0,161;0,311
АС-16;1,960;0,400
АС-25;1,176;0,377
АС-35;0,790;0,366
АС-50;0,600;0,355
АС-70;0,429;0,345
АС-95;0,306;0,334
АС-120;0,249;0,327
АС-150;0,199;0,319
АС-185;0,157;0,311
АС-240;0,124;0,369
АС-300;0,105;0,399
АС-400;0,078;0,391
ПСО-4;17,30;13,66
ПСО-5;11,00;5,600
АН-16;1,950;0,391
АН-25;1,236;0,377
АН-35;0,902;0,366
АН-50;0,624;0,355
АН-70;0,434;0,345
АН-95;0,326;0,334
АН-120;0,266;0,327
АН-150;0,211;0,319
АН-185;0,171;0,311
АЖ-16;2,113;0,391
АЖ-25;1,340;0,377
АЖ-35;0,978;0,366
АЖ-50;0,676;0,355
АЖ-70;0,475;0,345
АЖ-95;0,353;0,334
АЖ-120;0,288;0,327
АЖ-150;0,229;0,319
АЖ-185;0,185;0,311
ПС-25;6,850;2,430
ПС-35;5,200;2,070
ПС-50;3,700;1,490
ПС-70;2,330;1,130
ПС-95;1,870;0,740
СБ-16;1,150;0,113
СБ-25;0,740;0,099
СБ-35;0,520;0,095
СБ-50;0,370;0,090
СБ-70;0,260;0,086
СБ-95;0,194;0,083
СБ-120;0,153;0,081
СБ-150;0,122;0,079
СБ-185;0,099;0,077
СБ-240;0,077;0,075
АСБ-16;1,940;0,133
АСБ-25;1,240;0,099
АСБ-50;0,588;0,090
АСБ-95;0,310;0,083
АСБ-120;0,258;0,080
АСБ-150;0,196;0,079
АСБ-185;0,159;0,077
АСБ-240;0,122;0,075
ААБЛ-35;0,890;0,095
ААБЛ-70;0,443;0,086
ААБЛ-120;0,258;0,081
ААШВ-35;0,890;0,095
ААШВ-70;0,443;0,086
ААШВ-95;0,326;0,083
ААШВ-120;0,258;0,081
ААШВ-150;0,206;0,079
ААШВ-185;0,187;0,077
